"categorie_id","categorie_titre","item_id","item_nom","item_desc","prix","unite","actif"
"convoyeurs","Convoyeurs","convoyeur-kit-codebarre-d","Kit lecture codes-barres (convoyeur double)","Lecture des codes-barres des cartons en transit.","","option","oui"
"convoyeurs","Convoyeurs","convoyeur-kit-intercalaire-d","Kit support intercalaires (convoyeur double)","Support pour intercalaires au-dessus du convoyeur.","","option","oui"
"convoyeurs","Convoyeurs","butee-simple","Butee pour convoyeur client - simple","Etude mecanique + automatisme, fourniture du materiel avec pilotage, premontage atelier.","1500","piece","oui"
"convoyeurs","Convoyeurs","butee-complexe","Butee pour convoyeur client - complexe (sur etude)","Idem version simple, cas complexe necessitant une etude specifique.","3000","piece","oui"
"convoyeurs","Convoyeurs","convoyeur-arrivee-2m","Convoyeur arrivee des produits (2 m, charge max 20 kg)","Etude mecanique + automatisme, fourniture du materiel avec pilotage, premontage atelier.","13500","piece","oui"
"convoyeurs","Convoyeurs","convoyeur-arrivee-robotiq","Convoyeur arrivee des produits pour cellule ROBOTIQ","Idem convoyeur standard + ajout de securite integre dans la cellule ROBOTIQ.","13500","piece","oui"
"convoyeurs","Convoyeurs","magasins-intercalaires","Magasins intercalaires","Fourniture du materiel avec pilotage, premontage en atelier.","4000","piece","oui"
"pilotage","Pilotage, automate & programmation","kit-pilotage-intuitif","Kit Pilotage intuitif","Surcouche logicielle + afficheur tactile + automate programmable pour un pilotage simplifie de la cellule.","7500","piece","oui"
"pilotage","Pilotage, automate & programmation","kit-automate-programme","Kit Automate et programme","Automate programmable, gestion de la mise en cycle, choix d'une recette de production, lancement en production.","2800","piece","oui"
"pilotage","Pilotage, automate & programmation","kit-nocode-calepinage","Kit Programmation No-Code - plan de calepinage","Logiciel de programmation simplifie, creation des trajectoires par simple choix de positions. A combiner avec le Kit Automate et programme.","4200","piece","oui"
"pilotage","Pilotage, automate & programmation","kit-dev-calepinage","Developpement d'un plan de calepinage sur mesure","Creation et test des trajectoires, deplacement et frais sur site client (prix moyen).","1500","prestation","oui"
"pilotage","Pilotage, automate & programmation","armoire-electrique","Armoire electrique de raccordement","Sectionneur general, alimentation 24VDC, protections, arret d'urgence, FRL air, relais de dialogue machine, cablage + schema electrique.","4400","piece","oui"
"pilotage","Pilotage, automate & programmation","modem-telemaintenance","Modem de telemaintenance","Fourniture, precablage et connexion (wifi ou cable) sur l'internet du client.","1300","piece","oui"
"securite","Securite","kit-securite-grille","Kit Securite grille & scanner","Grilles de securite sur les cotes des deux palettes + scanner de securite a l'avant de la cellule.","6500","piece","oui"
"securite","Securite","kit-securite-renforce","Kit securite renforce (grillage + radar)","Etude grillage de securite de chaque cote des deux palettes + 1 radar de securite, installation et mise en service incluses.","9700","piece","oui"
"securite","Securite","certification-securite","Certification securite","Etude des risques et fourniture de l'analyse des risques.","2200","prestation","oui"
"amr","Gestion de flux - robots mobiles AMR","kit-gestion-flux-amr","Kit gestion des flux d'AMR","Logiciel de gestion des flux, ordinateur + armoire de controle, 2 coffrets pour la gestion de postes, ecran de supervision. Licence pour 1 a 10 robots.","9500","piece","oui"
"amr","Gestion de flux - robots mobiles AMR","amr-mise-en-service","Mise en service + demarrage sur 2 postes AMR","Installation de l'armoire principale et demarrage de l'application sur 2 postes (hors frais de deplacement).","5500","prestation","oui"
"amr","Gestion de flux - robots mobiles AMR","amr-poste-supplementaire","Poste supplementaire a gerer par les robots AMR","Kit permettant d'ajouter un poste supplementaire (hors frais de deplacement).","2000","piece","oui"
"montage","Montage & mise en service","montage-atelier","Montage de la cellule a l'atelier","Montage sur chassis, raccordement, prehenseur teste, capteurs testes, mise sous tension et test des trajectoires.","2500","prestation","oui"
"montage","Montage & mise en service","montage-client","Montage de la cellule chez le client (1 semaine)","Montage et recablage chez le client, mise en service de l'application sur un plan de palettisation.","3200","prestation","oui"
"montage","Montage & mise en service","mise-en-service-200km","Mise en service - rayon ~200 km","Montage, cablage, mise au point d'une recette, livraison, installation et mise en service chez le client.","8600","prestation","oui"
"montage","Montage & mise en service","mise-en-service-500km","Mise en service - rayon ~500 km","Idem prestation ci-dessus pour une distance d'environ 500 km.","10500","prestation","oui"
"robots-ur10","Ensembles robot UR10 / LIFKIT","ur10-lifkit","Ensemble Robot UR10 + LIFKIT (course 900 mm)","UR10 e-Serie, LIFKIT jusqu'a 900 mm de course, chaine porte-cable, collier et gaine. A monter par le client.","","piece","oui"
"robots-ur10","Ensembles robot UR10 / LIFKIT","ur10-lifkit-force","Ensemble Robot UR10 + LIFKIT avec capteur de force","UR10 e-Serie avec capteur de force, LIFKIT jusqu'a 900 mm de course, chaine porte-cable, collier et gaine. A monter par le client.","","piece","oui"
"bloc-base","BLOC Base (modules robotiques mobiles)","bloc-base-s","BLOC Base version S","Module de base avec emplacement compatible robot au choix, systeme d'automatisme pour la flexibilite, detection automatique du poste de travail, armoire electrique de pilotage, interconnexion multipoint, 1 systeme de bridage, emplacement baie robot. Dossier technique, montage, cablage, programmation et livraison inclus (kit pour deux postes a distribuer).","4500","module","oui"
"bloc-base","BLOC Base (modules robotiques mobiles)","bloc-base-m","BLOC Base version M","Idem version S, gabarit intermediaire adapte a un robot ou une application de taille moyenne.","6000","module","oui"
"bloc-base","BLOC Base (modules robotiques mobiles)","bloc-base-l","BLOC Base version L","Idem version S, gabarit large adapte a un robot ou une application de plus grande taille.","8700","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-plate","BLOC Plate - plateau tournant multipositions","Module equipe d'un plateau tournant (4 a 12 positions) pour le positionnement des pieces a traiter : station d'accueil mecanique, systeme de referencement, electro-aimant de bridage. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","16000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-plate-specifique","KIT Specifique Plate - etude des posages","Etude et fourniture specifique des posages/accessoires du module BLOC Plate en fonction du besoin client. Dossier technique, etude, montage, cablage, programmation et livraison inclus.","","prestation","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-2dvision","BLOC 2DVision - devracage 2D sur convoyeur","Chargement d'une piece client par devracage 2D sur convoyeur : tremie de distribution + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","29000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-3dvision","BLOC 3DVision - devracage 3D en vrac","Chargement d'une piece client par devracage 3D : camera de vision 3D + emplacement pour le contenant des pieces, transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","57000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-accuplate","BLOC AccuPlate - chargement ou dechargement","Module de convoyage de plateaux avec 1 systeme d'accumulation (convoyeur de 2 m + 1 ascenseur a plateau) pour une autonomie accrue. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","21000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-accuplate-mixte","BLOC AccuPlate Mixte - chargement et dechargement","Module de convoyage de plateaux avec 2 systemes d'accumulation (convoyeur de 3 m + 2 ascenseurs a plateau) : les pieces sont presentees au robot puis rerangees. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","33000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-flexibowl","BLOC FlexiBowl - devracage 2D sur bol rotatif","Bol rotatif + tremie vibrante + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","39500","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-asyril","BLOC Asyril - devracage 2D flexible (pieces <= 40 mm)","Systeme Asyril (pieces jusqu'a 40 mm) + tremie vibrante + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","39000","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-conveyor","BLOC Conveyor - convoyeur d'arrivee (2 m)","Convoyeur de 2 m integre sur un module, permettant l'acheminement des pieces deposees par le systeme client jusqu'au BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","7900","module","oui"
"bloc-modules","BLOC Modules (a ajouter a un BLOC Base)","bloc-specifique","BLOC Specifique - application sur mesure","Module adapte a une application specifique client (gravure, assemblage, controle d'aspect par vision, depose d'etiquette...). Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.","","module","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-box","KIT Box - posage carton (2 emplacements)","Deux emplacements sur le module de base pour la mise en place de deux cartons vides ou autres contenants. Dossier technique, montage, cablage, programmation et livraison inclus.","1800","piece","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-support","KIT Support - posage pieces","Dispositif de posage concu pour les pieces du client, integre directement au module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.","1600","piece","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-conveyor","KIT Conveyor - convoyeur sur BLOC Base (2 m)","Convoyeur de 2 m integre sur le module BLOC Base, permettant aux pieces d'etre deposees par le systeme client ou par le robot. Dossier technique, montage, cablage, programmation et livraison inclus.","7900","piece","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-lock","KIT Lock - bridage mecanique (1 poste)","Systeme mecanique avec station d'accueil, referencement et electro-aimant de bridage a installer sur le module de base, avec prise de communication. Dossier technique, montage, cablage, programmation et livraison inclus.","2400","piece","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-dock","KIT Dock - referencement devant poste","Systeme mecanique de referencement a installer sur la machine du client, avec prise de communication. Dossier technique, montage, cablage, programmation et livraison inclus.","1750","piece","oui"
"kits-bloc-base","KITS pour BLOC Base","bloc-kit-visioncal","KIT VisionCal - recalage automatique des trajectoires","Camera de vision + TAG de precision pour deux postes de travail : recalage automatique des reperes et trajectoires du robot au demarrage. Dossier technique, montage, cablage, programmation et livraison inclus.","8000","piece","oui"
"kits-prehenseur-bloc","KITS Prehenseur (BLOC Base)","bloc-kit-aspi-mousse","KIT Aspi Mousse - aspiration par mousse","Prehenseur d'aspiration par mousse pour cartons fermes. Dossier technique, montage et cablage inclus.","4000","piece","oui"
"kits-prehenseur-bloc","KITS Prehenseur (BLOC Base)","bloc-kit-aspi-ventouse","KIT Aspi Ventouse - aspiration par ventouse","Prehenseur d'aspiration par ventouse pour cartons fermes. Dossier technique, montage et cablage inclus.","3500","piece","oui"
"kits-prehenseur-bloc","KITS Prehenseur (BLOC Base)","bloc-kit-pincepneu","KIT PincePneu - pince pneumatique double","Prehenseur avec systeme de double pince pour la prise de 2 cartons ouverts. Dossier technique, montage et cablage inclus.","2500","piece","oui"
"kits-prehenseur-bloc","KITS Prehenseur (BLOC Base)","bloc-kit-pince","KIT Pince - pince electrique deux mors","Prehenseur a pince electrique deux mors. Dossier technique, montage, cablage et essai inclus.","3400","piece","oui"
"kits-prehenseur-bloc","KITS Prehenseur (BLOC Base)","bloc-kit-changetool","KIT ChangeTool - changeur d'outil automatique","Changeur d'outil automatique sur le robot, compatible avec deux prehenseurs de votre choix (avec leur support), systeme mecanique de posage sur BLOC Base. Dossier technique, montage, cablage et essai inclus.","7100","piece","oui"
"kits-securite-bloc","KITS Securite (BLOC Base)","bloc-kit-laserbloc","KIT LaserBloc - radar de securite (module)","Radar de securite integre dans un module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.","4500","piece","oui"
"kits-securite-bloc","KITS Securite (BLOC Base)","bloc-kit-2laserbloc","KIT 2LaserBloc - 2 radars de securite (module)","Deux radars de securite integres dans un module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.","7500","piece","oui"
"kits-securite-bloc","KITS Securite (BLOC Base)","bloc-kit-lasermate","KIT LaserMate - radar de securite (poste de travail)","Radar de securite integre sur le poste de travail du client, a associer au KIT Lock. Dossier technique, montage, cablage, programmation et livraison inclus.","4000","piece","oui"
"kits-securite-bloc","KITS Securite (BLOC Base)","bloc-kit-securebloc-m","KIT Secure Bloc M - carterisation","Mise en securite d'un module mobile par carterisation en profile (assemblage, decoupe, element en mouvement...) : mecanique de carterisation + gache de porte. Dossier technique, montage, cablage et essai inclus.","2500","piece","oui"
"kits-securite-bloc","KITS Securite (BLOC Base)","bloc-kit-barrierbloc","KIT Barrier Bloc - carterisation + barriere immaterielle","Securisation d'un module mobile par carterisation en profile et barriere immaterielle qui se rearme automatiquement lors du depot d'une piece. Dossier technique, montage, cablage et essai inclus.","7900","piece","oui"
